,speaker,topic,episode_id,episode_name,category,text
73,3,uncategorized,uncategorized,uncategorized,uncategorized,"I think that is an idea that is not in keeping with who we are as a nation. I think it's an idea that would rip our country apart.
"
74,3,uncategorized,uncategorized,uncategorized,uncategorized,"I have been for border security for years. I voted for border security in the United States Senate. And my comprehensive immigration reform plan of course includes border security. But I want to put our resources where I think they're most needed: Getting rid of any violent person. Anybody who should be deported, we should deport them.
"
75,3,uncategorized,uncategorized,uncategorized,uncategorized,"When it comes to the wall that Donald talks about building, he went to Mexico, he had a meeting with the Mexican president. Didn't even raise it. He choked and then got into a Twitter war because the Mexican president said we're not paying for that wall.
"
76,3,uncategorized,uncategorized,uncategorized,uncategorized,"So I think we are both a nation of immigrants and we are a nation of laws and that we can act accordingly. And that's why I'm introducing comprehensive immigration reform within the first 100 days with the path to citizenship.
"
77,2,uncategorized,uncategorized,uncategorized,uncategorized," Thank you, Secretary Clinton. I want to follow up...
"
78,1,uncategorized,uncategorized,uncategorized,uncategorized," Chris, I think it's...
"
79,2,uncategorized,uncategorized,uncategorized,uncategorized," OK.
"
80,1,uncategorized,uncategorized,uncategorized,uncategorized," I think I should respond to that. First of all, I had a very good meeting with the president of Mexico. Very nice man. We will be doing very much better with Mexico on trade deals. Believe me. The NAFTA deal signed by her husband is one of the worst deals ever made of any kind, signed by anybody. It's a disaster.
"
81,1,uncategorized,uncategorized,uncategorized,uncategorized,"Hillary Clinton wanted the wall. Hillary Clinton fought for the wall in 2006 or thereabouts. Now, she never gets anything done, so naturally the wall wasn't built. But Hillary Clinton wanted the wall.
"
82,2,uncategorized,uncategorized,uncategorized,uncategorized," Well, let me – wait, wait, sir, let me...
"
83,1,uncategorized,uncategorized,uncategorized,uncategorized," We are a country of laws. We either have – and by the way...
"
84,2,uncategorized,uncategorized,uncategorized,uncategorized," Now, wait. I'd like to hear from...
"
85,1,uncategorized,uncategorized,uncategorized,uncategorized," Well – well, but she said one thing.
"
86,2,uncategorized,uncategorized,uncategorized,uncategorized," I'd like to hear – I'd like to hear from Secretary Clinton.
"
87,3,uncategorized,uncategorized,uncategorized,uncategorized," I voted for border security, and there are...
"
88,1,uncategorized,uncategorized,uncategorized,uncategorized," And the wall.
"
89,3,uncategorized,uncategorized,uncategorized,uncategorized," There are some limited places where that was appropriate. There also is necessarily going to be new technology and how best to deploy that.
"
