index,speaker_name,speaker,topic,text
552,MODERATOR,moderator,question,We have a question from Spencer Maass.
553,MODERATOR,moderator,question, Good evening.
554,MODERATOR,moderator,"question, taxes","My question is, what specific tax provisions will you change to ensure the wealthiest Americans pay their fair share in taxes?"
555,MODERATOR,moderator,question," Mr. Trump, you have two minutes."
556,TRUMP,trump,taxes," Well, one thing I'd do is get rid of carried interest."
557,TRUMP,trump,taxes,"One of the greatest provisions for people like me, to be honest with you, I give up a lot when I run, because I knock out the tax code."
558,TRUMP,trump,h-clinton,"And she could have done this years ago, by the way."
559,TRUMP,trump,h-clinton,She's a United States - she was a United States senator.
560,TRUMP,trump,"h-clinton, trump, taxes",She complains that Donald Trump took advantage of the tax code.
561,TRUMP,trump,"h-clinton, taxes","Well, why didn't she change it?"
562,TRUMP,trump,"h-clinton, taxes",Why didn't you change it when you were a senator?
563,TRUMP,trump,"h-clinton, taxes",The reason you didn't is that all your friends take the same advantage that I do.
564,TRUMP,trump,"h-clinton, taxes","You have provisions in the tax code that, frankly, we could change."
565,TRUMP,trump,"h-clinton, trump, taxes","But you wouldn't change it, because all of these people gave you the money so you can take negative ads on Donald Trump."
566,TRUMP,trump,"h-clinton, taxes",But - and I say that about a lot of things.
567,TRUMP,trump,h-clinton,"You know, I've heard Hillary complaining about so many different things over the years."
568,TRUMP,trump,h-clinton,But she's been there for 30 years she's been doing this stuff.
569,TRUMP,trump,h-clinton,She never changed.
570,TRUMP,trump,h-clinton,And she never will change.
571,TRUMP,trump,h-clinton,She never will change.
572,TRUMP,trump,"h-clinton, taxes",We're getting rid of carried interest provisions.
573,TRUMP,trump,taxes,"I'm lowering taxes actually, because I think it's so important for corporations, because we have corporations leaving - massive corporations and little ones, little ones can't form."
574,TRUMP,trump,"deregulation, taxes",We're getting rid of regulations which goes hand in hand with the lowering of the taxes.
575,TRUMP,trump,taxes,But we're bringing the tax rate down from 35 percent to 15 percent.
576,TRUMP,trump,"taxes, middle-class",We're cutting taxes for the middle class.
577,TRUMP,trump,"taxes, middle-class","And I will tell you, we are cutting them big league for the middle class."
578,TRUMP,trump,"h-clinton, taxes","And I will tell you, Hillary Clinton is raising your taxes, folks."
579,TRUMP,trump,"h-clinton, taxes",She's raising your taxes really high.
580,TRUMP,trump,"h-clinton, america",And what that's going to do is a disaster for the country.
581,TRUMP,trump,taxes,But she is raising your taxes and I'm lowering your taxes.
582,TRUMP,trump,taxes,That in itself is a big difference.
583,TRUMP,trump,trade,We have no growth in this country.
584,TRUMP,trump,trade,There's no growth.
585,TRUMP,trump,"china, trade","If China has a GDP of 7 percent, it's like a national catastrophe."
586,TRUMP,trump,trade,We're down at 1 percent.
587,TRUMP,trump,trade,"And that's, like, no growth."
588,TRUMP,trump,trade,"And we're going lower, in my opinion."
589,TRUMP,trump,"taxes, trade","And a lot of it has to do with the fact that our taxes are so high, just about the highest in the world."
590,TRUMP,trump,taxes,And I'm bringing them down to one of the lower in the world.
591,TRUMP,trump,taxes,And I think it's so important - one of the most important things we can do.
592,TRUMP,trump,"taxes, h-clinton",But she is raising everybody's taxes massively.
593,MODERATOR,moderator,"h-clinton, question"," Secretary Clinton, you have two minutes."
594,MODERATOR,moderator,"question, taxes","The question was, what specific tax provisions will you change to ensure the wealthiest Americans pay their fair share of taxes?"
595,CLINTON,clinton,"trump, taxes"," Well, everything you've heard just now from Donald is not true."
596,CLINTON,clinton,trump,"I'm sorry I have to keep saying this, but he lives in an alternative reality."
597,CLINTON,clinton,"trump, taxes",And it is sort of amusing to hear somebody who hasn't paid federal income taxes in maybe 20 years talking about what he's going to do.
598,CLINTON,clinton,"trump, taxes","His plan will give the wealthy and corporations the biggest tax cuts they've ever had, more than the Bush tax cuts by at least a factor of two."
599,CLINTON,clinton,"trump, taxes","Donald always takes care of Donald and people like Donald, and this would be a massive gift."
600,CLINTON,clinton,"trump, taxes, middle-class","And, indeed, the way that he talks about his tax cuts would end up raising taxes on middle-class families, millions of middle-class families."
601,CLINTON,clinton,"taxes, middle-class","I have said nobody who makes less than $250,000 a year - and that's the vast majority of Americans as you know - will have their taxes raised, because I think we've got to go where the money is."
602,CLINTON,clinton,taxes,And the money is with people who have taken advantage of every single break in the tax code.
603,CLINTON,clinton,"h-clinton, taxes","And, yes, when I was a senator, I did vote to close corporate loopholes."
604,CLINTON,clinton,"trump, taxes","I voted to close, I think, one of the loopholes he took advantage of when he claimed a billion-dollar loss that enabled him to avoid paying taxes."
605,CLINTON,clinton,taxes,I want to have a tax on people who are making a million dollars.
606,CLINTON,clinton,"buffet, taxes",It's called the Buffett rule.
607,CLINTON,clinton,"buffet, taxes","Yes, Warren Buffett is the one who's gone out and said somebody like him should not be paying a lower tax rate than his secretary."
608,CLINTON,clinton,taxes,I want to have a surcharge on incomes above $5 million.
609,CLINTON,clinton,taxes,"We have to make up for lost times, because I want to invest in you."
610,CLINTON,clinton,taxes,I want to invest in hard-working families.
611,CLINTON,clinton,taxes,"And I think it's been unfortunate, but it's happened, that since the Great Recession, the gains have all gone to the top."
612,CLINTON,clinton,taxes,And we need to reverse that.
613,CLINTON,clinton,"trump, taxes, military, healthcare, education","People like Donald, who paid zero in taxes, zero for our vets, zero for our military, zero for health and education, that is wrong."
614,MODERATOR,moderator,misc," Thank you, Secretary."
615,CLINTON,clinton,"taxes, america"," And we're going to make sure that nobody, no corporation, and no individual can get away without paying his fair share to support our country."
616,MODERATOR,moderator,misc,"I want to give you - Mr. Trump, I want to give you the chance to respond."
617,MODERATOR,moderator,question,I just wanted to tell our viewers what she's referring to.
618,MODERATOR,moderator,"question, taxes","In the last month, taxes were the number-one issue on Facebook for the first time in the campaign."
619,MODERATOR,moderator,"taxes, trump",The New York Times published three pages of your 1995 tax returns.
620,MODERATOR,moderator,"taxes, trump","They show you claimed a $916 million loss, which means you could have avoided paying personal federal income taxes for years."
621,MODERATOR,moderator,"taxes, trump","You've said you pay state taxes, employee taxes, real estate taxes, property taxes."
622,MODERATOR,moderator,"taxes, trump","You have not answered, though, a simple question."
623,MODERATOR,moderator,"taxes, trump",Did you use that $916 million loss to avoid paying personal federal income taxes for years?
624,TRUMP,trump,"taxes, h-clinton","And so do all of her donors, or most of her donors."
625,TRUMP,trump,"taxes, h-clinton",I know many of her donors.
626,TRUMP,trump,"taxes, h-clinton",Her donors took massive tax write-offs.
627,MODERATOR,moderator,"taxes, trump", So have you (inaudible) personal federal income tax?
628,TRUMP,trump,"taxes, h-clinton, trump"," A lot of my - excuse me, Anderson - a lot of my write- off was depreciation and other things that Hillary as a senator allowed."
629,TRUMP,trump,"taxes, h-clinton","And she'll always allow it, because the people that give her all this money, they want it."
630,TRUMP,trump,taxes,"See, I understand the tax code better than anybody that's ever run for president."
631,TRUMP,trump,"taxes, h-clinton","Hillary Clinton - and it's extremely complex - Hillary Clinton has friends that want all of these provisions, including they want the carried interest provision, which is very important to Wall Street people."
632,TRUMP,trump,"taxes, h-clinton","But they really want the carried interest provision, which I believe Hillary's leaving."
633,TRUMP,trump,"taxes, h-clinton",Very interesting why she's leaving carried interest.
634,TRUMP,trump,"taxes, trump","But I will tell you that, number one, I pay tremendous numbers of taxes."
635,TRUMP,trump,taxes,I absolutely used it.
