index,polarity,subjectivity,speaker,speaker_name,text,applause,attack,agree,noun_phrases,people,locations,topic
342,0.125,0.19166666666666665,clinton,clinton,"Yes, well, first of all, first of all, Paul Krugman, Barney Frank, others have all endorsed my plan. Secondly, we have Dodd-Frank. It gives us the authority already to break up big banks that pose...",False,False,False,"['paul krugman', 'barney frank', 'secondly', 'dodd-frank', 'big banks', 'pose ...']",[],[],misc
343,0.0,0.0,omalley,omalley,And we have never used it.,False,False,False,[],[],[],misc
344,0.0,0.25,clinton,clinton,That pose a risk to the financial sector. I want to go further and add to that.,False,False,False,['financial sector'],[],[],economy
345,0.0,0.0,clinton,clinton,"And, you know, Governor, you have raised money on Wall Street. You raised a lot of money on Wall Street when you were the head of the Democratic Governor's Association...",False,False,False,"['wall street', 'wall street', ""democratic governor 's association ...""]",[],[],omalley
346,0.0,0.0,omalley,omalley,"Yes, but I haven't gotten a penny this year...",False,False,False,['year ...'],[],[],misc
347,0.0,0.0,clinton,clinton,And you were...,False,False,False,[],[],[],misc
348,0.0,0.0,omalley,omalley,"... so somebody please, go on to martinomalley.com...[laughter]. Go on to martinomalley.com, send me your checks. They're not giving me, zero.",False,False,False,['martinomalley.com ... [ laughter ]'],[],[],omalley
349,-0.16666666666666666,0.3833333333333333,clinton,clinton,"Yes, well, the point is that if we're going to be serious about this and not just try to score political points, we should know what's in Dodd-Frank, and what's in Dodd-Frank already gives the president the authority...[crosstalk]...with his regulators to make those decisions.",False,False,False,"['political points', 'dodd-frank', 'dodd-frank', 'authority ... [ crosstalk ] ...']",[],[],election
350,-0.3333333333333333,0.75,sanders,sanders,"Let me give you an example of how corrupt, how corrupt this system is. Goldman Sachs recently fined $5 billion.",False,False,False,['goldman sachs'],[],[],economy
351,0.0,0.0,sanders,sanders,"Goldman Sachs has given this country two secretaries of treasury, one on the Republicans, one under Democrats.",False,False,False,['goldman sachs'],[],[],economy
352,0.0,0.0,omalley,omalley,Say it.,False,False,False,['say'],[],[],misc
