index,polarity,subjectivity,timestamp,speaker,speaker_name,text,applause,laughter,interaction,attack,attack_target,agree,agree_target,interruption,interrupt_target,defense,defense_against,reference,mentions,noun_phrases,people,locations,topic,autotopic,first_mention
277,0.0,0.0,,clinton,Clinton,Because what I have proposed...,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
278,0.0,0.0,,trump,Trump," And take a look at mine, also, and you’ll see.",False,False,True,False,[],False,[],True,clinton,False,,False,[],['’ ll'],[],[],misc,['misc'],[]
279,0.0,0.0,,clinton,Clinton,"... would not add a penny to the debt, and your plans would add $5 trillion to the debt.",False,False,True,False,[],False,[],True,trump,False,,False,[],[],[],[],deficit,['misc'],[]
280,-0.25,0.4,,clinton,Clinton,What I have proposed would cut regulations and streamline them for small businesses.,False,False,False,False,[],False,[],False,,False,,False,[],['small businesses'],[],[],economy,['misc'],[]
281,0.5,1.0,,clinton,Clinton,"What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],taxes,"['economic-inequality', 'taxes']",[]
282,0.6,0.95,,clinton,Clinton,And I think it’s time that the wealthy and corporations paid their fair share to support this country.,False,False,False,False,[],False,[],False,,False,,False,[],"['’ s time', 'fair share']",[],[],economy,['corporate-power'],['corporate-power']
283,0.0,0.0,,moderator,Moderator,Well you just opened the next segment,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
284,0.2857142857142857,0.5357142857142857,,trump,Trump,(CROSSTALK)  HOLT: I’m going to give you a chance right here...,False,False,False,False,[],False,[],False,,False,,False,[],"['crosstalk', 'holt', '’ m']",[],[],misc,['misc'],[]
285,0.0,0.0,,trump,Trump," I think I should you go to her website, and you take a look at her website.",False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],h-clinton,['misc'],[]
286,0.13636363636363635,0.45454545454545453,,moderator,Moderator,... with a new 15-minute segment...,False,False,False,False,[],False,[],False,,False,,False,[],['new 15-minute segment ...'],[],[],misc,['misc'],[]
287,0.0,0.0,,trump,Trump,She’s going to raise taxes $1.3 trillion.,False,False,False,False,[],False,[],False,,False,,False,[],"['’ s', 'taxes $']",[],[],taxes,['taxes'],[]
288,0.0,0.0,,moderator,Moderator," Mr. Trump, I’m going to...",False,False,False,False,[],False,[],False,,False,,True,['trump'],['’ m'],[],[],trump,['misc'],[]
289,0.0,0.0,,trump,Trump, And look at her website.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
290,0.0,0.0,,trump,Trump,It’s no difference than this.,False,False,False,False,[],False,[],False,,False,,False,[],['’ s'],[],[],misc,['misc'],[]
291,0.0,0.0,,trump,Trump,She’s telling us how to fight ISIS.,False,False,False,False,[],False,[],False,,False,,False,[],"['’ s', 'isis']",[],[],isis,['misc'],[]
292,0.0,0.0,,trump,Trump,Just go to her website.,False,False,False,False,[],False,[],False,,False,,False,[],[],[],[],misc,['misc'],[]
293,0.0,0.0,,trump,Trump,She tells you how to fight ISIS on her website.,False,False,False,False,[],False,[],False,,False,,False,[],['isis'],[],[],isis,['misc'],[]
294,0.125,0.35,,trump,Trump,I don’t think General Douglas MacArthur would like that too much.,False,False,False,False,[],False,[],False,,False,,False,[],"['don ’ t', 'douglas macarthur']",[],[],misc,['misc'],[]
295,0.0,0.0,,moderator,Moderator," The next segment, we’re continuing...",False,False,False,False,[],False,[],False,,False,,False,[],['’ re'],[],[],misc,['misc'],[]
296,-0.3,0.4,,clinton,Clinton," Well, at least I have a plan to fight ISIS.",False,False,False,False,[],False,[],False,,False,,False,[],['isis'],[],[],isis,['misc'],[]
297,0.0,0.0,,moderator,Moderator, ... achieving prosperity...,False,False,False,False,[],False,[],False,,False,,False,[],['prosperity ...'],[],[],misc,['misc'],[]
298,0.0,0.0,,trump,Trump," No, no, you’re telling the enemy everything you want to do.",False,False,False,False,[],False,[],False,,False,,False,[],['’ re'],[],[],military,['misc'],[]
299,0.0,0.0,,clinton,Clinton," No, we’re not.",False,False,True,False,[],False,[],True,trump,False,,False,[],['’ re'],[],[],misc,['misc'],[]
300,0.0,0.0,,clinton,Clinton,"No, we’re not.",False,False,False,False,[],False,[],False,,False,,False,[],['’ re'],[],[],misc,['misc'],[]
301,0.0,0.0,,trump,Trump," See, you’re telling the enemy everything you want to do.",False,False,True,False,[],False,[],True,clinton,False,,False,[],['’ re'],[],[],military,['misc'],[]
302,0.05,0.4625,,trump,Trump,"No wonder you’ve been fighting, no wonder you’ve been fighting ISIS your entire adult life.",False,False,False,False,[],False,[],False,,False,,False,[],"['’ ve', '’ ve', 'isis', 'entire adult life']",[],[],isis,['misc'],[]
303,0.0,0.0,,clinton,Clinton," That’s a, that’s go to the please, fact checkers, get to work.",False,False,True,False,[],False,[],True,trump,False,,False,[],"['’ s', '’ s', 'fact checkers']",[],[],misc,['misc'],[]
